"filename", "language", "JSON", "TypeScript", "PHP", "TypeScript JSX", "Ignore", "JavaScript", "Markdown", "MS SQL", "YAML", "CSS", "JSON with Comments", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\app\Http\Requests\EditCellRequest.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\xampp\htdocs\pdl-is\app\Http\Requests\PDL\CreatePdlRequest.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68
"c:\xampp\htdocs\pdl-is\app\Http\Requests\PDL\TransferRequest.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 41
"c:\xampp\htdocs\pdl-is\app\Http\Requests\Profile\CreateUserRequest.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 76
"c:\xampp\htdocs\pdl-is\app\Http\Requests\Profile\UpdateProfileRequest.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 62
"c:\xampp\htdocs\pdl-is\app\Http\Requests\Settings\ProfileUpdateRequest.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 33
"c:\xampp\htdocs\pdl-is\app\Http\Requests\StoreCellAssignmentRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 29
"c:\xampp\htdocs\pdl-is\app\Http\Requests\UpdateUserRequest.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\xampp\htdocs\pdl-is\app\Models\Activity.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\xampp\htdocs\pdl-is\app\Models\CaseInformation.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\xampp\htdocs\pdl-is\app\Models\CellAssignment.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\xampp\htdocs\pdl-is\app\Models\Cells.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\xampp\htdocs\pdl-is\app\Models\Certificate.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 31, 229
"c:\xampp\htdocs\pdl-is\app\Models\CourtOrder.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\xampp\htdocs\pdl-is\app\Models\LoginAttempt.php", "PHP", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 25, 131
"c:\xampp\htdocs\pdl-is\app\Models\MedicalDocument.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\xampp\htdocs\pdl-is\app\Models\MedicalRecord.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\xampp\htdocs\pdl-is\app\Models\PasswordReset.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\xampp\htdocs\pdl-is\app\Models\Pdl.php", "PHP", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 189
"c:\xampp\htdocs\pdl-is\app\Models\PdlAlert.php", "PHP", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 92
"c:\xampp\htdocs\pdl-is\app\Models\Personnel.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 84
"c:\xampp\htdocs\pdl-is\app\Models\PhysicalCharacteristic.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\xampp\htdocs\pdl-is\app\Models\SystemNotification.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 45
"c:\xampp\htdocs\pdl-is\app\Models\SystemNotificationReadBy.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"c:\xampp\htdocs\pdl-is\app\Models\TimeAllowance.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
