"filename", "language", "PHP", "TypeScript JSX", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\public\build\assets\checkbox-sZP-Rulp.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\circle-alert-nkaXhu1c.js", "JavaScript", 0, 0, -2, 0, 0, -4, -1, -7
"c:\xampp\htdocs\pdl-is\public\build\assets\circle-check-big-BKf4FuBb.js", "JavaScript", 0, 0, -2, 0, 0, -4, -1, -7
"c:\xampp\htdocs\pdl-is\public\build\assets\command-cggK63BW.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\court-order-Cw2BDQsb.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\court-order-sVuqGVmP.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\create-CB62wW8z.js", "JavaScript", 0, 0, 2, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\create-event-C7SFgDEz.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\create-event-xPFki9ud.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\create-pdl-information-BAfTGMAf.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\create-pdl-information-CNDMKpML.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\dashboard-BD-GlSth.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\dashboard-BM4yjk0C.js", "JavaScript", 0, 0, 3, 0, 0, 8, 1, 12
"c:\xampp\htdocs\pdl-is\public\build\assets\dashboard-BlE8Amlw.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1, -2
"c:\xampp\htdocs\pdl-is\public\build\assets\dashboard-D41JX840.js", "JavaScript", 0, 0, -5, 0, 0, -16, -1, -22
"c:\xampp\htdocs\pdl-is\public\build\assets\dashboard-D6LDuMJR.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
